ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
1001,"BUTTER,WITH SALT",717,0.85,81.11,0.06,714,51.368,215,0.06,24,0.02,24,0,2.32,1.5
1002,"BUTTER,WHIPPED,WITH SALT",717,0.85,81.11,0.06,827,50.489,219,0.06,24,0.16,26,0,2.32,1.5
1003,"BUTTER OIL,ANHYDROUS",876,0.28,99.48,0,2,61.924,256,0,4,0,5,0,2.8,1.8
1004,"CHEESE,BLUE",353,21.4,28.74,2.34,1395,18.669,75,0.5,528,0.31,256,0,0.25,0.5
1005,"CHEESE,BRICK",371,23.24,29.68,2.79,560,18.764,94,0.51,674,0.43,136,0,0.26,0.5
1006,"CHEESE,BRIE",334,20.75,27.68,0.45,629,17.41,100,0.45,184,0.5,152,0,0.24,0.5
1007,"CHEESE,CAMEMBERT",300,19.8,24.26,0.46,842,15.259,72,0.46,388,0.33,187,0,0.21,0.4
1008,"CHEESE,CARAWAY",376,25.18,29.2,3.06,690,18.584,93,,673,0.64,93,0,,
1009,"CHEESE,CHEDDAR",403,24.9,33.14,1.28,621,21.092,105,0.52,721,0.68,98,0,0.29,0.6
1010,"CHEESE,CHESHIRE",387,23.37,30.6,4.78,700,19.475,103,,643,0.21,95,0,,
1011,"CHEESE,COLBY",394,23.76,32.11,2.57,604,20.218,95,0.52,685,0.76,127,0,0.28,0.6
1012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98,11.12,4.3,3.38,364,1.718,17,2.67,83,0.07,104,0,0.08,0.1
1013,"CHEESE,COTTAGE,CRMD,W/FRUIT",97,10.69,3.85,4.61,344,2.311,13,2.38,53,0.16,90,1.4,0.04,0
1014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72,10.34,0.29,6.66,330,0.169,7,1.85,86,0.15,137,0,0.01,0
1015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86,11.83,2.45,3.66,330,0.979,10,3.67,91,0.15,84,0,0.04,0
1016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72,12.39,1.02,2.72,406,0.645,4,2.72,61,0.14,86,0,0.01,0
1017,"CHEESE,CREAM",342,5.93,34.24,4.07,321,19.292,110,3.21,98,0.38,138,0,0.29,0.6
1018,"CHEESE,EDAM",357,24.99,27.8,1.43,965,17.572,89,1.43,731,0.44,188,0,0.24,0.5
1019,"CHEESE,FETA",264,14.21,21.28,4.09,1116,14.946,89,4.09,493,0.65,62,0,0.18,0.4
1020,"CHEESE,FONTINA",389,25.6,31.14,1.55,800,19.196,116,1.55,550,0.23,64,0,0.27,0.6
1021,"CHEESE,GJETOST",466,9.65,29.51,42.65,600,19.16,94,,400,0.52,1409,0,,
1022,"CHEESE,GOUDA",356,24.94,27.44,2.22,819,17.614,114,2.22,700,0.24,121,0,0.24,0.5
1023,"CHEESE,GRUYERE",413,29.81,32.34,0.36,336,18.913,110,0.36,1011,0.17,81,0,0.28,0.6
1024,"CHEESE,LIMBURGER",327,20.05,27.25,0.49,800,16.746,90,0.49,497,0.13,128,0,0.23,0.5
1025,"CHEESE,MONTEREY",373,24.48,30.28,0.68,536,19.066,89,0.5,746,0.72,81,0,0.26,0.6
1026,"CHEESE,MOZZARELLA,WHL MILK",300,22.17,22.35,2.19,627,13.152,79,1.03,505,0.44,76,0,0.19,0.4
1027,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318,21.6,24.64,2.47,415,15.561,89,1.01,575,0.2,75,0,0.21,0.5
1028,"CHEESE,MOZZARELLA,PART SKIM MILK",254,24.26,15.92,2.77,619,10.114,64,1.13,782,0.22,84,0,0.14,0.3
1029,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",302,25.96,20.03,3.83,652,10.877,54,0.6,731,0.25,95,0,0.37,0.4
1030,"CHEESE,MUENSTER",368,23.41,30.04,1.12,628,19.113,96,1.12,717,0.41,134,0,0.26,0.6
1031,"CHEESE,NEUFCHATEL",253,9.15,22.78,3.59,334,12.79,74,3.19,117,0.13,152,0,0.4,
1032,"CHEESE,PARMESAN,GRATED",431,38.46,28.61,4.06,1529,17.301,88,0.9,1109,0.9,125,0,0.25,0.5
